DATE,BOST625PCPI
1969-01-01,4453
1970-01-01,4770
1971-01-01,5064
1972-01-01,5425
1973-01-01,5867
1974-01-01,6352
1975-01-01,6819
1976-01-01,7345
1977-01-01,7999
1978-01-01,8842
1979-01-01,9853
1980-01-01,11135
1981-01-01,12405
1982-01-01,13631
1983-01-01,14777
1984-01-01,16567
1985-01-01,17838
1986-01-01,19187
1987-01-01,20639
1988-01-01,22764
1989-01-01,23965
1990-01-01,24714
1991-01-01,25213
1992-01-01,26497
1993-01-01,27378
1994-01-01,28573
1995-01-01,30080
1996-01-01,31797
1997-01-01,33486
1998-01-01,35571
1999-01-01,37911
2000-01-01,42332
2001-01-01,43439
2002-01-01,42914
2003-01-01,43610
2004-01-01,45982
2005-01-01,48155
2006-01-01,51971
2007-01-01,54597
2008-01-01,56416
2009-01-01,55375
2010-01-01,57744
2011-01-01,60005
2012-01-01,61505
2013-01-01,61256
2014-01-01,63585
2015-01-01,67506
2016-01-01,69736
2017-01-01,72924
2018-01-01,76594
2019-01-01,80092
2020-01-01,84686
2021-01-01,92742
2022-01-01,95926
2023-01-01,100880
