DATE,CHIC917PCPI
1969-01-01,4698
1970-01-01,4945
1971-01-01,5241
1972-01-01,5660
1973-01-01,6243
1974-01-01,6842
1975-01-01,7315
1976-01-01,8009
1977-01-01,8825
1978-01-01,9757
1979-01-01,10715
1980-01-01,11698
1981-01-01,12880
1982-01-01,13600
1983-01-01,14302
1984-01-01,15605
1985-01-01,16458
1986-01-01,17406
1987-01-01,18451
1988-01-01,20145
1989-01-01,21269
1990-01-01,22627
1991-01-01,22924
1992-01-01,24373
1993-01-01,25039
1994-01-01,26095
1995-01-01,27628
1996-01-01,29046
1997-01-01,30556
1998-01-01,32325
1999-01-01,33573
2000-01-01,35946
2001-01-01,36940
2002-01-01,37189
2003-01-01,37665
2004-01-01,38960
2005-01-01,40696
2006-01-01,43305
2007-01-01,45679
2008-01-01,46420
2009-01-01,43456
2010-01-01,44319
2011-01-01,46280
2012-01-01,48768
2013-01-01,49353
2014-01-01,51751
2015-01-01,54358
2016-01-01,55027
2017-01-01,56964
2018-01-01,60416
2019-01-01,62228
2020-01-01,65871
2021-01-01,71206
2022-01-01,73317
2023-01-01,77429
