DATE,PCPI36061
1969-01-01,7841
1970-01-01,8509
1971-01-01,9128
1972-01-01,9770
1973-01-01,10218
1974-01-01,10969
1975-01-01,11840
1976-01-01,12591
1977-01-01,13875
1978-01-01,15467
1979-01-01,16715
1980-01-01,18182
1981-01-01,20086
1982-01-01,21675
1983-01-01,23972
1984-01-01,25598
1985-01-01,28200
1986-01-01,30640
1987-01-01,34557
1988-01-01,41085
1989-01-01,44194
1990-01-01,50102
1991-01-01,46424
1992-01-01,51213
1993-01-01,53072
1994-01-01,54486
1995-01-01,59023
1996-01-01,64284
1997-01-01,68213
1998-01-01,74086
1999-01-01,79579
2000-01-01,86989
2001-01-01,93194
2002-01-01,90778
2003-01-01,88185
2004-01-01,89033
2005-01-01,95113
2006-01-01,107966
2007-01-01,120851
2008-01-01,118184
2009-01-01,112521
2010-01-01,117597
2011-01-01,127713
2012-01-01,132764
2013-01-01,136240
2014-01-01,142018
2015-01-01,145561
2016-01-01,154104
2017-01-01,169445
2018-01-01,173187
2019-01-01,169112
2020-01-01,165797
2021-01-01,194952
2022-01-01,199467
2023-01-01,214991
