"Fact","Fact Note","New York County, New York","Value Note for New York County, New York"
"Population estimates, July 1, 2023, (V2023)","","1,597,451",""
"Population estimates base, April 1, 2020, (V2023)","","1,694,250",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-5.7%",""
"Population, Census, April 1, 2020","","1,694,251",""
"Population, Census, April 1, 2010","","1,585,873",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","13.5%",""
"Persons 65 years and over, percent","","18.8%",""
"Female persons, percent","","52.3%",""
"White alone, percent","","62.9%",""
"Black or African American alone, percent","(a)","18.4%",""
"American Indian and Alaska Native alone, percent","(a)","1.2%",""
"Asian alone, percent","(a)","13.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","3.7%",""
"Hispanic or Latino, percent","(b)","24.4%",""
"White alone, not Hispanic or Latino, percent","","46.8%",""
"Veterans, 2018-2022","","27,778",""
"Foreign born persons, percent, 2018-2022","","28.1%",""
"Housing Units, July 1, 2023, (V2023)","","928,714",""
"Owner-occupied housing unit rate, 2018-2022","","24.3%",""
"Median value of owner-occupied housing units, 2018-2022","","$1,104,000",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$4,000+",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$1,367",""
"Median gross rent, 2018-2022","","$2,024",""
"Building Permits, 2023","","3,030",""
"Households, 2018-2022","","772,601",""
"Persons per household, 2018-2022","","2.04",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","83.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","38.1%",""
"Households with a computer, percent, 2018-2022","","93.9%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","89.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","62.8%",""
"With a disability, under age 65 years, percent, 2018-2022","","6.8%",""
"Persons without health insurance, under age 65 years, percent","","4.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","66.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","62.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","27,902,302",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","44,469,833",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","4,764,857",""
"Total retail sales, 2017 ($1,000)","(c)","54,824,853",""
"Total retail sales per capita, 2017","(c)","$33,587",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","31.8",""
"Median household income (in 2022 dollars), 2018-2022","","$99,880",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$89,702",""
"Persons in poverty, percent","","17.2%",""
"Total employer establishments, 2022","","95,072",""
"Total employment, 2022","","2,210,489",""
"Total annual payroll, 2022 ($1,000)","","325,222,442",""
"Total employment, percent change, 2021-2022","","9.2%",""
"Total nonemployer establishments, 2021","","204,379",""
"All employer firms, Reference year 2017","","86,330",""
"Men-owned employer firms, Reference year 2017","","52,638",""
"Women-owned employer firms, Reference year 2017","","18,965",""
"Minority-owned employer firms, Reference year 2017","","20,596",""
"Nonminority-owned employer firms, Reference year 2017","","56,168",""
"Veteran-owned employer firms, Reference year 2017","","2,374",""
"Nonveteran-owned employer firms, Reference year 2017","","74,680",""
"Population per square mile, 2020","","74,781.6",""
"Population per square mile, 2010","","69,467.5",""
"Land area in square miles, 2020","","22.66",""
"Land area in square miles, 2010","","22.83",""
"FIPS Code","","""36061""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
