"Fact","Fact Note","Boston city, Massachusetts","Value Note for Boston city, Massachusetts","Los Angeles County, California","Value Note for Los Angeles County, California","Seattle city, Washington","Value Note for Seattle city, Washington","Chicago city, Illinois","Value Note for Chicago city, Illinois","Miami-Dade County, Florida","Value Note for Miami-Dade County, Florida","Houston city, Texas","Value Note for Houston city, Texas"
"Population estimates, July 1, 2023, (V2023)","","653,833","","9,663,345","","755,078","","2,664,452","","2,686,867","","2,314,157",""
"Population estimates base, April 1, 2020, (V2023)","","678,617","","10,013,976","","737,018","","2,746,352","","2,701,776","","2,300,833",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.7%","","-3.5%","","2.5%","","-3.0%","","-0.6%","","0.6%",""
"Population, Census, April 1, 2020","","675,647","","10,014,009","","737,015","","2,746,388","","2,701,767","","2,304,580",""
"Population, Census, April 1, 2010","","617,594","","9,818,605","","608,660","","2,695,598","","2,496,435","","2,099,451",""
"Persons under 5 years, percent","","4.7%","","4.9%","","4.4%","","5.7%","","5.4%","","6.9%",""
"Persons under 18 years, percent","","15.7%","","20.2%","","14.0%","","20.0%","","19.8%","","23.9%",""
"Persons 65 years and over, percent","","12.3%","","15.7%","","12.8%","","13.3%","","17.4%","","11.6%",""
"Female persons, percent","","51.8%","","50.5%","","48.9%","","51.2%","","50.9%","","50.3%",""
"White alone, percent","","48.6%","","69.6%","","63.6%","","42.4%","","79.6%","","40.8%",""
"Black or African American alone, percent","(a)","22.5%","","9.0%","","6.7%","","28.8%","","16.9%","","22.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%","","1.5%","","0.6%","","0.7%","","0.4%","","0.7%",""
"Asian alone, percent","(a)","9.7%","","16.0%","","16.8%","","7.0%","","1.8%","","6.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.4%","","0.2%","","0.1%","","0.1%","","0.1%",""
"Two or More Races, percent","","12.0%","","3.4%","","9.4%","","9.7%","","1.4%","","14.9%",""
"Hispanic or Latino, percent","(b)","19.6%","","48.6%","","7.5%","","29.0%","","69.1%","","44.8%",""
"White alone, not Hispanic or Latino, percent","","44.2%","","25.3%","","61.2%","","32.7%","","13.9%","","23.6%",""
"Veterans, 2018-2022","","13,282","","230,282","","23,950","","63,690","","46,602","","63,152",""
"Foreign born persons, percent, 2018-2022","","28.1%","","33.3%","","19.8%","","20.2%","","54.0%","","28.9%",""
"Housing Units, July 1, 2023, (V2023)","","X","","3,675,720","","X","","X","","1,104,711","","X",""
"Owner-occupied housing unit rate, 2018-2022","","34.8%","","46.2%","","44.5%","","45.6%","","51.9%","","42.0%",""
"Median value of owner-occupied housing units, 2018-2022","","$684,900","","$732,200","","$879,900","","$304,500","","$387,000","","$235,000",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$2,798","","$2,945","","$3,261","","$2,249","","$2,208","","$1,973",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$957","","$754","","$1,081","","$807","","$722","","$605",""
"Median gross rent, 2018-2022","","$1,981","","$1,805","","$1,945","","$1,314","","$1,623","","$1,235",""
"Building Permits, 2023","","X","","24,286","","X","","X","","12,781","","X",""
"Households, 2018-2022","","276,053","","3,363,093","","345,246","","1,129,908","","952,680","","897,510",""
"Persons per household, 2018-2022","","2.26","","2.89","","2.05","","2.36","","2.77","","2.52",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","80.4%","","90.4%","","76.5%","","85.3%","","88.2%","","82.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","36.0%","","55.5%","","22.9%","","35.2%","","75.1%","","48.1%",""
"Households with a computer, percent, 2018-2022","","94.2%","","95.4%","","97.3%","","92.9%","","95.2%","","94.1%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","89.6%","","90.2%","","93.4%","","85.9%","","84.5%","","87.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","88.4%","","80.3%","","95.6%","","86.6%","","82.7%","","79.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","53.4%","","34.6%","","66.7%","","42.4%","","32.5%","","35.2%",""
"With a disability, under age 65 years, percent, 2018-2022","","8.4%","","6.7%","","6.8%","","7.8%","","5.8%","","7.2%",""
"Persons without health insurance, under age 65 years, percent","","3.6%","","9.4%","","5.0%","","11.0%","","16.1%","","26.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","69.7%","","64.7%","","73.7%","","67.2%","","63.7%","","66.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","67.9%","","58.8%","","70.0%","","63.4%","","57.9%","","59.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","6,072,943","","34,725,868","","4,918,030","","12,308,450","","11,060,042","","11,039,101",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","21,411,934","","84,372,181","","13,241,698","","22,877,074","","21,236,142","","32,073,432",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","5,475,132","","41,113,746","","9,512,158","","19,271,130","","29,864,739","","26,597,641",""
"Total retail sales, 2017 ($1,000)","(c)","12,080,224","","150,362,821","","60,443,530","","23,313,046","","45,110,749","","53,089,247",""
"Total retail sales per capita, 2017","(c)","$17,552","","$14,899","","$82,840","","$8,601","","$16,651","","$22,952",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","30.6","","31.0","","27.2","","34.1","","31.6","","27.4",""
"Median household income (in 2022 dollars), 2018-2022","","$89,212","","$83,411","","$116,068","","$71,673","","$64,215","","$60,440",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$55,949","","$41,847","","$77,616","","$45,840","","$35,563","","$38,834",""
"Persons in poverty, percent","","17.5%","","13.9%","","10.1%","","16.9%","","14.5%","","19.6%",""
"Total employer establishments, 2022","","X","","304,305","","X","","X","","95,916","","X",""
"Total employment, 2022","","X","","3,898,570","","X","","X","","1,009,443","","X",""
"Total annual payroll, 2022 ($1,000)","","X","","288,504,625","","X","","X","","64,919,874","","X",""
"Total employment, percent change, 2021-2022","","X","","7.4%","","X","","X","","5.3%","","X",""
"Total nonemployer establishments, 2021","","X","","1,087,871","","X","","X","","637,894","","X",""
"All employer firms, Reference year 2017","","15,358","","228,558","","22,311","","50,497","","74,627","","55,378",""
"Men-owned employer firms, Reference year 2017","","9,110","","135,941","","11,229","","30,205","","43,312","","32,405",""
"Women-owned employer firms, Reference year 2017","","2,316","","48,447","","4,941","","10,807","","15,974","","10,556",""
"Minority-owned employer firms, Reference year 2017","","2,426","","81,550","","3,760","","11,729","","38,353","","17,464",""
"Nonminority-owned employer firms, Reference year 2017","","10,036","","130,465","","15,322","","33,170","","29,341","","31,672",""
"Veteran-owned employer firms, Reference year 2017","","536","","8,417","","1,113","","1,861","","2,826","","3,127",""
"Nonveteran-owned employer firms, Reference year 2017","","11,997","","205,046","","17,937","","42,885","","66,735","","45,861",""
"Population per square mile, 2020","","13,976.7","","2,466.9","","8,791.8","","12,059.8","","1,422.1","","3,598.4",""
"Population per square mile, 2010","","12,792.7","","2,419.6","","7,250.9","","11,841.8","","1,315.5","","3,501.5",""
"Land area in square miles, 2020","","48.34","","4,059.28","","83.83","","227.73","","1,899.90","","640.44",""
"Land area in square miles, 2010","","48.28","","4,057.88","","83.94","","227.63","","1,897.72","","599.59",""
"FIPS Code","","""2507000""","","""06037""","","""5363000""","","""1714000""","","""12086""","","""4835000""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
