QuickFacts Dec-03-2024 (1)
Fact,"Houston city, Texas","Los Angeles city, California","New York city, New York","Seattle city, Washington","Miami city, Florida","Chicago city, Illinois","Boston city, Massachusetts"
"Population estimates, July 1, 2023, (V2023)","2,314,157","3,820,914","8,258,035","755,078","455,924","2,664,452","653,833"
"Population estimates base, April 1, 2020, (V2023)","2,300,833","3,898,841","8,804,199","737,018","442,260","2,746,352","678,617"
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)",0.6%,-2.0%,-6.2%,2.5%,3.1%,-3.0%,-3.7%
"Population, Census, April 1, 2020","2,304,580","3,898,747","8,804,190","737,015","442,241","2,746,388","675,647"
"Population, Census, April 1, 2010","2,099,451","3,792,621","8,175,133","608,660","399,457","2,695,598","617,594"
"Persons under 5 years, percent",6.9%,5.3%,6.0%,4.4%,5.5%,5.7%,4.7%
"Persons under 18 years, percent",23.9%,19.7%,20.6%,14.0%,16.5%,20.0%,15.7%
"Persons 65 years and over, percent",11.6%,13.4%,15.5%,12.8%,16.3%,13.3%,12.3%
"Female persons, percent",50.3%,50.0%,51.9%,48.9%,49.2%,51.2%,51.8%
"White alone, percent",40.8%,41.2%,37.5%,63.6%,45.4%,42.4%,48.6%
"Black or African American alone, percent",22.4%,8.6%,23.1%,6.7%,14.1%,28.8%,22.5%
"American Indian and Alaska Native alone, percent",0.7%,1.0%,0.6%,0.6%,0.3%,0.7%,0.3%
"Asian alone, percent",6.9%,11.8%,14.5%,16.8%,1.5%,7.0%,9.7%
"Native Hawaiian and Other Pacific Islander alone, percent",0.1%,0.1%,0.1%,0.2%,0.0%,0.1%,0.1%
"Two or More Races, percent",14.9%,12.7%,8.9%,9.4%,32.3%,9.7%,12.0%
"Hispanic or Latino, percent",44.8%,48.1%,29.0%,7.5%,72.3%,29.0%,19.6%
"White alone, not Hispanic or Latino, percent",23.6%,28.1%,31.2%,61.2%,11.9%,32.7%,44.2%
"Veterans, 2018-2022","63,152","73,065","135,138","23,950","7,342","63,690","13,282"
"Foreign born persons, percent, 2018-2022",28.9%,36.0%,36.3%,19.8%,57.9%,20.2%,28.1%
"Housing Units, July 1, 2023, (V2023)",X,X,X,X,X,X,X
"Owner-occupied housing unit rate, 2018-2022",42.0%,36.6%,32.9%,44.5%,30.1%,45.6%,34.8%
"Median value of owner-occupied housing units, 2018-2022","$235,000.00","$822,600.00","$732,100.00","$879,900.00","$433,900.00","$304,500.00","$684,900.00"
"Median selected monthly owner costs -with a mortgage, 2018-2022","$1,973.00","$3,235.00","$3,148.00","$3,261.00","$2,515.00","$2,249.00","$2,798.00"
"Median selected monthly owner costs -without a mortgage, 2018-2022",$605.00,$891.00,"$1,071.00","$1,081.00",$735.00,$807.00,$957.00
"Median gross rent, 2018-2022","$1,235.00","$1,791.00","$1,714.00","$1,945.00","$1,494.00","$1,314.00","$1,981.00"
"Building Permits, 2023",X,X,X,X,X,X,X
"Households, 2018-2022","897,510","1,399,442","3,282,804","345,246","186,137","1,129,908","276,053"
"Persons per household, 2018-2022",2.52,2.70,2.56,2.05,2.33,2.36,2.26
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022",82.9%,89.0%,89.9%,76.5%,84.7%,85.3%,80.4%
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022",48.1%,57.4%,47.8%,22.9%,77.8%,35.2%,36.0%
"Households with a computer, percent, 2018-2022",94.1%,95.0%,92.9%,97.3%,93.0%,92.9%,94.2%
"Households with a broadband Internet subscription, percent, 2018-2022",87.3%,89.7%,87.4%,93.4%,75.0%,85.9%,89.6%
"High school graduate or higher, percent of persons age 25 years+, 2018-2022",79.6%,78.7%,83.3%,95.6%,78.8%,86.6%,88.4%
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022",35.2%,36.7%,40.2%,66.7%,34.2%,42.4%,53.4%
"With a disability, under age 65 years, percent, 2018-2022",7.2%,6.9%,7.1%,6.8%,6.6%,7.8%,8.4%
"Persons without health insurance, under age 65 years, percent",26.9%,11.9%,7.6%,5.0%,22.1%,11.0%,3.6%
"In civilian labor force, total, percent of population age 16 years+, 2018-2022",66.9%,66.5%,63.2%,73.7%,65.7%,67.2%,69.7%
"In civilian labor force, female, percent of population age 16 years+, 2018-2022",59.5%,60.7%,58.9%,70.0%,59.8%,63.4%,67.9%
