SUMLEV,CBSA,MDIV,NAME,LSAD,YEAR,POPESTIMATE,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE1824_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT
314,12060,12054,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Division,5,4913673,281957,577627,289486,454915,1386933,1250712,672043
314,12060,31924,"Marietta, GA",Metropolitan Division,5,1393588,78212,158825,80109,122574,387830,364718,201320
314,14460,14454,"Boston, MA",Metropolitan Division,5,2031206,100755,186474,91129,210332,591965,501514,349037
314,14460,15764,"Cambridge-Newton-Framingham, MA",Metropolitan Division,5,2434041,124226,240613,116304,225640,676758,622206,428294
314,14460,40484,"Rockingham County-Strafford County, NH",Metropolitan Division,5,453932,20465,40553,20620,40565,114690,125820,91219
314,16980,16984,"Chicago-Naperville-Schaumburg, IL",Metropolitan Division,5,7075391,372981,758405,371915,607145,2018161,1769809,1176975
314,16980,20994,"Elgin, IL",Metropolitan Division,5,755246,42834,90107,46191,77502,194608,190440,113564
314,16980,29404,"Lake County, IL",Metropolitan Division,5,708760,36554,82667,42988,71723,172068,185930,116830
314,16980,29414,"Lake County-Porter County-Jasper County, IN",Metropolitan Division,5,723428,40070,82112,40639,60651,182223,183612,134121
314,19100,19124,"Dallas-Plano-Irving, TX",Metropolitan Division,5,5462593,344076,674732,324862,504100,1628049,1323339,663435
314,19100,23104,"Fort Worth-Arlington-Grapevine, TX",Metropolitan Division,5,2637444,165853,333435,162031,244564,756215,629855,345491
314,19820,19804,"Detroit-Dearborn-Livonia, MI",Metropolitan Division,5,1751169,107097,208196,96186,144409,464704,430931,299646
314,19820,47664,"Warren-Troy-Farmington Hills, MI",Metropolitan Division,5,2591135,130333,262211,130093,200256,668278,700790,499174
314,31080,11244,"Anaheim-Santa Ana-Irvine, CA",Metropolitan Division,5,3135755,157073,326803,162004,280383,854801,824770,529921
314,31080,31084,"Los Angeles-Long Beach-Glendale, CA",Metropolitan Division,5,9663345,475877,993842,483051,853065,2877146,2459595,1520769
314,33100,22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Metropolitan Division,5,1962531,104833,201704,96703,145958,520087,530470,362776
314,33100,33124,"Miami-Miami Beach-Kendall, FL",Metropolitan Division,5,2686867,144066,262767,125762,219074,728938,738645,467615
314,33100,48424,"West Palm Beach-Boca Raton-Delray Beach, FL",Metropolitan Division,5,1533801,74740,141786,69506,112791,356475,388803,389700
314,35620,29484,"Lakewood-New Brunswick, NJ",Metropolitan Division,5,2514461,143025,276434,134586,209242,605353,661098,484723
314,35620,35004,"Nassau County-Suffolk County, NY",Metropolitan Division,5,2904885,152412,305975,149918,249029,702806,797575,547170
314,35620,35084,"Newark, NJ",Metropolitan Division,5,2214581,125508,247374,118063,184570,575617,595812,367637
314,35620,35614,"New York City-Jersey City-White Plains, NY-NJ",Metropolitan Division,5,11864322,654205,1216414,548182,967437,3487481,2944585,2046018
314,37980,15804,"Camden, NJ",Metropolitan Division,5,1304786,70760,140481,69053,107899,344696,340590,231307
314,37980,33874,"Montgomery County-Bucks County-Chester County, PA",Metropolitan Division,5,2064510,104221,216427,109645,167627,510950,548354,407286
314,37980,37964,"Philadelphia, PA",Metropolitan Division,5,2127262,122916,227076,100717,210274,646999,480189,339091
314,37980,48864,"Wilmington, DE-MD-NJ",Metropolitan Division,5,749602,40886,80138,38949,65426,199232,191706,133265
314,41860,36084,"Oakland-Fremont-Berkeley, CA",Metropolitan Division,5,2777213,143583,284179,138610,220311,805606,718968,465956
314,41860,41884,"San Francisco-San Mateo-Redwood City, CA",Metropolitan Division,5,1535341,68569,123107,57931,105889,498726,396257,284862
314,41860,42034,"San Rafael, CA",Metropolitan Division,5,254407,11086,23766,13365,18512,50552,74381,62745
314,42660,21794,"Everett, WA",Metropolitan Division,5,844761,49479,92484,42383,60556,260475,210177,129207
314,42660,42644,"Seattle-Bellevue-Kent, WA",Metropolitan Division,5,2271380,114439,219124,101288,183254,780456,543565,329254
