DATE,Seattle,LA,NYC,Chicago,Boston,Houston,Miami
2013-01-01,55606,47541,136240,49353,61256,52033,39422
2014-01-01,59429,50052,142018,51751,63585,54699,41971
2015-01-01,62060,53067,145561,54358,67506,54210,44327
2016-01-01,64639,54750,154104,55027,69736,50841,44087
2017-01-01,68086,56635,169445,56964,72924,54000,48538
2018-01-01,72181,59004,173187,60416,76594,57086,53008
2019-01-01,76794,62604,169112,62228,80092,58902,55424
2020-01-01,81697,67904,165797,65871,84686,59431,56363
2021-01-01,89358,73343,194952,71206,92742,65196,65052
2022-01-01,92291,74378,199467,73317,95926,68808,70497
2023-01-01,99339,78302,214991,77429,100880,72453,75182
